4.543344000000000549e-02,8.163250407576046197e-03
5.861844195555555165e-02,7.766715911504665573e-03
7.743734325018894471e-02,9.321842155310903349e-03
9.448686042240586613e-02,1.615857475664398898e-02
1.182751556395714859e-01,6.775651809406488604e-03
1.388947500000000113e-01,8.209760299736365910e-03
1.655067464817777667e-01,1.614866403275900739e-02
2.004121998685075845e-01,1.674229432146481095e-02
2.377264264837677110e-01,2.116021004993529422e-02
3.037223483900227672e-01,1.188065748328796627e-02
2.908191885638789498e-01,1.575151237962353623e-02
3.132357887209876735e-01,1.744993756527409706e-02
3.009850894022430556e-01,2.062043472058634405e-02
2.595687708159722384e-01,1.930908215032067776e-02
2.437581556004489447e-01,2.361351087856435049e-02
1.898014418915801860e-01,1.036230070654378665e-02
1.617004218920635172e-01,2.038543141219018029e-02
1.474430517283950304e-01,1.004231671653049718e-02
1.225851998246895447e-01,1.326604560190246772e-02
1.036469155555555521e-01,6.847368246141851203e-03
